"index","band","school","province","level","info","year","min","status"
"1","冲","天津工业大学","天津","双一流/设计强","动画，计划6","2025","545","已核"
"2","冲","海南大学","海南","211","绘画，福建计划4","2025","547.50","官方已核"
"3","冲","海南大学","海南","211","视觉传达设计，福建计划5","2025","549.25","官方已核"
"4","冲","福州大学","福建","211","美术学类","2025","550","已核"
"5","冲","福建师范大学","福建","公办师范","设计学类，福建计划约52","2025","551.25","官网入口/待复核"
"6","冲","福建师范大学","福建","公办师范","美术学，福建计划约50","2025","552.25","官网入口/待复核"
"7","冲","福州大学","福建","211","设计学类","2025","552.75","已核"
"8","冲","东华大学","上海","211/双一流","数媒、服装、艺术与科技、产品、中外等","2025","563.50","已核"
"9","冲","西南大学","重庆","211/双一流","雕塑","2025","568.50","官方已核"
"10","冲","西南大学","重庆","211/双一流","绘画","2025","580.25","官方已核"
"11","稳","集美大学","福建","公办","动画，计划11","2025","538.75","官方已核"
"12","稳","天津工业大学","天津","双一流/设计强","环境设计，计划4","2025","534","已核"
"13","稳","集美大学","福建","公办","视觉传达设计，计划13","2025","541.25","官方已核"
"14","稳","天津工业大学","天津","双一流/设计强","服装与服饰设计，计划4","2025","537","已核"
"15","稳","浙江理工大学科技与艺术学院","浙江","独立学院/民办","视觉传达设计，录取70","2025","532","已核"
"16","稳","集美大学","福建","公办","美术学，计划50","2025","534.75","官方已核"
"17","稳","湖北大学","湖北","公办重点","设计学类","2025","539.25","已核"
"18","稳","厦门理工学院","福建","公办","数字媒体艺术","2025","530.75","待复核"
"19","稳","天津工业大学","天津","双一流/设计强","视觉传达设计，计划4","2025","540","已核"
"20","稳","集美大学","福建","公办","环境设计，计划20","2025","531.50","官方已核"
"21","保","厦门理工学院","福建","公办","动画","2025","526.75","待复核"
"22","保","泉州师范学院","福建","公办师范","数字媒体艺术","2025","526.75","待复核"
"23","保","厦门理工学院","福建","公办","设计学类","2025","525.25","待复核"
"24","保","济南大学","山东","公办","美术与设计类，计划6","2025","523.75","已核"
"25","保","泉州师范学院","福建","公办师范","美术学（师范）","2025","522.75","待复核"
"26","保","山东工艺美术学院","山东","专业艺术院校","视传/动画/产品等，计划24","2025","520.75","已核"
"27","保","闽南师范大学","福建","公办师范","美术学（师范）","2024","518.25","参考"
"28","保","福建理工大学","福建","公办","普通美术与设计类","2025","518","已核"
"29","保","湖州师范学院","浙江","公办师范","产品设计/服装","2025","512","已核"
"30","保","闽南师范大学","福建","公办师范","公共艺术","2024","511.50","参考"
"31","保","厦门理工学院","福建","公办/面向厦门","设计学类","2025","507","待复核"
"32","保","湖北大学","湖北","公办重点/中外","数字媒体艺术中外","2025","506.75","已核"
"33","冲","西南大学","重庆","211/双一流","美术学","2025","641.50","官方已核"
"34","冲","西南大学","重庆","211/双一流","视觉传达设计","2025","583.25","官方已核"
"35","保","南京传媒学院","江苏","民办/传媒设计","美术与设计类","2025","504.50","已核"
"36","保","福建商学院","福建","公办","视觉传达设计，录取70","2025","498.75","已核"
"37","保","福建技术师范学院","福建","公办","美术与设计类","2025","498.75","已核"
"38","保","福建商学院","福建","公办","环境设计，录取50","2025","492.25","已核"
"39","保","福建商学院","福建","公办","工艺美术，录取70","2025","492","已核"
"40","保","福州大学至诚学院","福建","独立学院/民办","产品设计，录取65","2025","486.25","已核"
"41","冲","上海大学","上海","211/双一流","视觉传达设计，福建计划2","2025","590.25","官方已核"
"42","冲","上海大学","上海","211/双一流","数字媒体艺术，福建计划2","2025","594.75","官方已核"
